week,start_nav,end_nav,pnl_dollars,trades,weekly_return_pct
2023-09-04/2023-09-10,2632.8403370828355,2556.48796730743,-76.35236977540514,1,-2.9000000000001136
2023-09-11/2023-09-17,2556.48796730743,2573.0454877090265,16.557520401596257,1,0.6476666666667352
2023-09-18/2023-09-24,2573.0454877090265,2625.987185141381,52.941697432354296,1,2.057549999999897
2023-09-25/2023-10-01,2625.987185141381,2625.987185141381,0.0,0,0.0
2023-10-02/2023-10-08,2625.987185141381,2625.987185141381,0.0,0,0.0
2023-10-09/2023-10-15,2625.987185141381,2829.4934344910716,203.5062493496909,3,7.7497045873334836
2023-10-16/2023-10-22,2829.4934344910716,2747.4381248908303,-82.05530960024116,1,-2.9000000000000137
2023-10-23/2023-10-29,2747.4381248908303,2767.369998598443,19.931873707613,3,0.7254712499996652
2023-10-30/2023-11-05,2767.369998598443,2793.693222025113,26.32322342666977,1,0.9512000000000409
2023-11-06/2023-11-12,2793.693222025113,2793.693222025113,0.0,0,0.0
2023-11-13/2023-11-19,2793.693222025113,2789.102252830245,-4.5909691948678395,1,-0.16433333333356615
2023-11-20/2023-11-26,2789.102252830245,2789.102252830245,0.0,0,0.0
2023-11-27/2023-12-03,2789.102252830245,2789.102252830245,0.0,0,0.0
2023-12-04/2023-12-10,2789.102252830245,2736.387368645864,-52.71488418438078,2,-1.8900305333333867
2023-12-11/2023-12-17,2736.387368645864,2708.750734055607,-27.636634590257046,2,-1.0099679200000655
2023-12-18/2023-12-24,2708.750734055607,2708.750734055607,0.0,0,0.0
2023-12-25/2023-12-31,2708.750734055607,2708.750734055607,0.0,0,0.0
2024-01-01/2024-01-07,2708.750734055607,2831.451724806857,122.70099075124973,1,4.529799999999962
2024-01-08/2024-01-14,2831.451724806857,2921.375095829321,89.92337102246371,2,3.175875125633576
2024-01-15/2024-01-21,2921.375095829321,2921.375095829321,0.0,0,0.0
2024-01-22/2024-01-28,2921.375095829321,2921.375095829321,0.0,0,0.0
2024-01-29/2024-02-04,2921.375095829321,3040.83925418261,119.46415835328929,2,4.089312547500024
2024-02-05/2024-02-11,3040.83925418261,3040.83925418261,0.0,0,0.0
2024-02-12/2024-02-18,3040.83925418261,2952.654915811316,-88.18433837129383,1,-2.899999999999947
2024-02-19/2024-02-25,2952.654915811316,2932.6752842143283,-19.979631596987964,1,-0.6766666666666032
2024-02-26/2024-03-03,2932.6752842143283,2876.8614469502895,-55.8138372640386,2,-1.9031714000001032
2024-03-04/2024-03-10,2876.8614469502895,2934.816779752917,57.955332802627126,1,2.014533333333257
2024-03-11/2024-03-17,2934.816779752917,2934.816779752917,0.0,0,0.0
2024-03-18/2024-03-24,2934.816779752917,2934.816779752917,0.0,0,0.0
